code,date,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_type,report_date,PE_TTM,PS_TTM,PC_TTM,PB,adjust_price_f
sh600000,2019-06-27,11.680000,11.840000,11.550000,11.640000,-0.001715,47997783.000000,561472043.000000,327127811772.719971,341658215821.080017,0.001708,157.095166,2018-09-30,2018-10-31,6.477662,1.556695,-0.871180,0.828282,11.640000
sh600004,2019-06-27,17.620000,18.160000,17.620000,17.830000,0.006208,11080026.000000,198473051.000000,36895984746.790001,36895984764.620003,0.005354,45.684472,2018-09-30,2018-10-31,25.788256,3.632858,11.748814,2.348710,17.830000
sh600006,2019-06-27,5.270000,5.340000,5.230000,5.280000,-0.003774,26237295.000000,138389260.000000,10560000000.000000,10560000000.000000,0.013119,19.094306,2018-09-30,2018-10-30,21.502776,0.636093,-22.607804,1.527215,5.280000
sh600007,2019-06-27,14.710000,14.890000,14.620000,14.670000,0.000000,1229600.000000,18137062.000000,14776834773.780001,14776834773.780001,0.001221,25.836881,2018-09-30,2018-10-31,20.102303,6.654240,11.742338,2.244045,14.670000
sh600008,2019-06-27,3.530000,3.600000,3.520000,3.550000,0.008523,19616081.000000,69942562.000000,17113180136.650000,20183341134.849998,0.004069,27.145737,2018-09-30,2018-10-31,28.333220,1.239823,8.839910,1.366047,3.550000
sh600009,2019-06-27,79.000000,81.340000,78.450000,81.270000,0.026136,7735668.000000,621945931.000000,88866826702.919998,156603913068.959991,0.007074,245.315527,2018-09-30,2018-10-30,37.925241,24.915500,34.413110,5.767020,81.270000
sh600010,2019-06-27,1.700000,1.720000,1.690000,1.700000,0.000000,240330060.000000,409846707.000000,53851259697.900002,77494555501.600006,0.007587,14.167313,2018-09-30,2018-10-31,26.234568,2.460032,9.264305,1.494505,1.700000
sh600011,2019-06-27,6.470000,6.480000,6.360000,6.370000,-0.015456,19946006.000000,127912518.000000,66885000000.000000,99996854696.830002,0.001900,29.170838,2018-09-30,2018-10-24,152.392344,0.751146,3.227441,1.199849,6.370000
sh600012,2019-06-27,6.400000,6.450000,6.370000,6.380000,-0.004680,1704922.000000,10922307.000000,7436528000.000000,10581931800.000000,0.001463,13.849595,2018-09-30,2018-10-30,9.472903,4.360080,5.752412,1.074382,6.380000
sh600015,2019-06-27,7.700000,7.770000,7.680000,7.700000,0.000000,17563336.000000,135710329.000000,98734687220.399994,118481624669.100006,0.001370,33.072323,2018-09-30,2018-10-31,5.345366,1.405837,-1.040442,0.613546,7.700000
sh600016,2019-06-27,6.360000,6.410000,6.350000,6.360000,0.003155,61991365.000000,395789990.000000,225539103628.320007,278456181672.719971,0.001748,155.210442,2018-09-30,2018-10-31,5.225965,1.561780,-1.354835,0.693566,6.360000
sh600017,2019-06-27,3.150000,3.180000,3.140000,3.170000,0.006349,21012416.000000,66395659.000000,9749822824.959999,9749822824.959999,0.006832,10.366399,2018-09-30,2018-10-27,16.741470,2.241745,6.896313,0.880425,3.170000
