index_code,date,open,close,low,high,volume,money,change
sh000001,2019-07-05,3004.740000,3011.060000,2990.920000,3014.850000,15675542900.000000,163180840000.000000,0.001933
sh000002,2019-07-05,3147.070000,3153.800000,3132.630000,3157.770000,15656628500.000000,162995100000.000000,0.001970
sh000003,2019-07-05,299.690000,296.640000,295.610000,300.190000,18914300.000000,185750000.000000,-0.010606
sh000004,2019-07-05,2348.140000,2355.030000,2336.970000,2358.860000,9564110300.000000,102349870000.000000,0.003764
sh000005,2019-07-05,2751.590000,2755.160000,2735.570000,2758.040000,1097411700.000000,11814330000.000000,0.001061
sh000006,2019-07-05,6974.370000,6958.000000,6927.720000,6987.520000,344346500.000000,3034360000.000000,-0.015751
sh000007,2019-07-05,5231.040000,5228.500000,5193.770000,5233.410000,1545037600.000000,11655800000.000000,-0.001798
sh000008,2019-07-05,2909.670000,2915.430000,2899.030000,2918.140000,3124636700.000000,34326480000.000000,0.001635
sh000009,2019-07-05,4691.020000,4708.910000,4673.570000,4717.820000,3377158600.000000,37033050000.000000,0.004030
sh000010,2019-07-05,8640.370000,8662.230000,8595.300000,8677.260000,4846025000.000000,68695880000.000000,0.002485
sh000016,2019-07-05,2952.710000,2961.920000,2937.600000,2967.980000,2384534500.000000,37972410000.000000,0.002929
sh000017,2019-07-05,2537.480000,2542.900000,2525.830000,2546.110000,14961555100.000000,160296430000.000000,0.001966
sh000020,2019-07-05,1054.880000,1058.320000,1049.990000,1060.120000,2343219500.000000,28520310000.000000,0.003718
sh000032,2019-07-05,1348.540000,1346.420000,1341.910000,1348.540000,493312200.000000,3170290000.000000,-0.001646
sh000033,2019-07-05,1928.160000,1932.430000,1916.880000,1934.230000,1074968700.000000,10305960000.000000,0.003276
sh000034,2019-07-05,2148.470000,2145.120000,2134.660000,2151.040000,1130693800.000000,11291190000.000000,-0.001234
sh000035,2019-07-05,2402.480000,2417.030000,2395.190000,2423.700000,412688500.000000,5652420000.000000,0.007226
sh000036,2019-07-05,10749.780000,10863.400000,10691.310000,10897.110000,429170500.000000,13965260000.000000,0.016631
sh000037,2019-07-05,6004.870000,6054.930000,5993.960000,6073.270000,338869400.000000,7018290000.000000,0.011867
sh000038,2019-07-05,5532.000000,5534.870000,5503.090000,5544.920000,1404041200.000000,19853170000.000000,-0.001951
sh000039,2019-07-05,3217.720000,3230.310000,3207.640000,3239.960000,489557900.000000,8961090000.000000,0.003174
sh000040,2019-07-05,2870.430000,2871.140000,2853.970000,2875.220000,282569500.000000,3585880000.000000,0.000502
sh000041,2019-07-05,1993.540000,1995.660000,1982.870000,1996.270000,393215500.000000,2179140000.000000,0.001355
sh000043,2019-07-05,2420.930000,2423.700000,2403.380000,2427.320000,1021015200.000000,23009330000.000000,0.000074
sh000044,2019-07-05,3394.740000,3399.440000,3376.110000,3403.830000,2461490500.000000,30723480000.000000,0.001618
sh000045,2019-07-05,3914.830000,3926.050000,3897.690000,3933.410000,4372505300.000000,39315610000.000000,0.003076
sh000046,2019-07-05,3661.620000,3669.070000,3643.560000,3674.720000,6833995800.000000,70039080000.000000,0.002259
sh000047,2019-07-05,3256.800000,3265.270000,3240.640000,3271.030000,9218530300.000000,108011490000.000000,0.002610
sh000090,2019-07-05,1131.090000,1134.170000,1125.820000,1136.050000,14961555100.000000,160296430000.000000,0.002688
sh000104,2019-07-05,1027.370000,1027.990000,1022.220000,1030.550000,129492800.000000,814450000.000000,-0.002997
sh000105,2019-07-05,3685.980000,3690.630000,3665.470000,3698.160000,582847000.000000,5121690000.000000,0.002352
sh000106,2019-07-05,4520.600000,4530.710000,4498.050000,4537.020000,916510900.000000,9031150000.000000,0.002075
sh000107,2019-07-05,4100.700000,4112.880000,4082.930000,4119.720000,274481200.000000,2861710000.000000,0.002804
sh000108,2019-07-05,10605.270000,10754.310000,10555.870000,10774.660000,300940500.000000,5516700000.000000,0.017530
sh000109,2019-07-05,9932.030000,10035.070000,9907.810000,10066.040000,277730400.000000,4299730000.000000,0.014346
sh000110,2019-07-05,3806.290000,3793.940000,3775.240000,3814.220000,398778200.000000,2222090000.000000,-0.006983
sh000111,2019-07-05,5443.320000,5489.250000,5443.320000,5509.600000,329506700.000000,5492480000.000000,0.007231
sh000112,2019-07-05,5937.850000,5952.180000,5914.590000,5956.190000,56876300.000000,1014540000.000000,0.001002
sh000113,2019-07-05,1985.400000,1988.110000,1973.920000,1988.570000,109994600.000000,658510000.000000,0.002531
sh000132,2019-07-05,5112.180000,5135.310000,5097.130000,5146.230000,641563200.000000,8297820000.000000,0.005171
sh000133,2019-07-05,4034.510000,4044.020000,4008.670000,4046.260000,876738800.000000,8635970000.000000,0.001771
sh000155,2019-07-05,2915.870000,2924.310000,2901.380000,2929.640000,3666132400.000000,54647070000.000000,0.002616
sh000300,2019-07-05,3875.370000,3893.200000,3857.930000,3900.310000,7400652700.000000,116236520000.000000,0.005190
sh000852,2019-07-05,5404.710000,5424.250000,5379.890000,5433.690000,9690498600.000000,91252460000.000000,0.003677
sh000903,2019-07-05,4155.400000,4178.740000,4135.920000,4186.020000,4054738300.000000,68656280000.000000,0.006055
sh000904,2019-07-05,3719.660000,3727.970000,3703.540000,3735.890000,3345914400.000000,47580240000.000000,0.003175
sh000905,2019-07-05,5026.330000,5042.660000,5001.520000,5055.010000,6490414100.000000,60552010000.000000,0.003510
sh000906,2019-07-05,4055.590000,4072.950000,4037.180000,4080.980000,13891066800.000000,176788530000.000000,0.004793
sz399001,2019-07-05,9379.940000,9443.210000,9345.790000,9464.390000,19870307700.000000,211103880000.000000,0.007996
sz399002,2019-07-05,11447.220000,11524.440000,11405.540000,11550.290000,7451642500.000000,102518000000.000000,0.008232
sz399003,2019-07-05,5182.960000,5247.660000,5180.260000,5255.990000,7693500.000000,39080000.000000,0.011849
sz399004,2019-07-05,5235.140000,5290.110000,5222.110000,5302.200000,2395424600.000000,49489260000.000000,0.012233
sz399005,2019-07-05,5787.330000,5799.300000,5764.400000,5817.040000,1814245700.000000,26064110000.000000,0.004982
sz399006,2019-07-05,1535.480000,1547.740000,1532.860000,1551.940000,1103542600.000000,18274800000.000000,0.009786
sz399007,2019-07-05,3989.180000,4018.800000,3975.130000,4027.920000,5337439100.000000,81571130000.000000,0.008920
sz399008,2019-07-05,1137.110000,1141.420000,1133.050000,1144.370000,4167793100.000000,50164150000.000000,0.005949
