index_code.string(),date.date(2006-01-02),open.double(),close.double(),low.double(),high.double(),volume.double(),money.double(),change.double()
sh000046,2019-06-10,3434.81,3456.17,3410.11,3470.05,7706439800.0,70065950000.0,0.00860305425936
sh000046,2019-06-06,3474.84,3426.69,3420.16,3474.84,8237875100.0,74009210000.0,-0.0150897191588
sh000046,2019-06-05,3512.47,3479.19,3475.07,3520.83,8198826200.0,75824330000.0,-0.00138632958479
sh000046,2019-06-04,3517.43,3484.02,3467.25,3520.7,8730666400.0,79107020000.0,-0.0107106146394
sh000046,2019-06-03,3553.11,3521.74,3512.05,3575.8,10220520400.0,91986740000.0,-0.00701792969664
sh000046,2019-05-31,3554.46,3546.63,3538.8,3577.09,9357808200.0,85570890000.0,-0.00115187905552
sh000046,2019-05-30,3552.74,3550.72,3516.45,3553.29,9767924900.0,89454100000.0,-0.00558718671846
sh000046,2019-05-29,3560.98,3570.67,3553.22,3595.1,9287116000.0,86367160000.0,-0.0028039131904
sh000046,2019-05-28,3561.41,3580.71,3549.23,3598.19,10234204000.0,1.0030028e+11,0.00497053045187
sh000046,2019-05-27,3497.16,3563.0,3478.14,3569.48,9425871100.0,90573090000.0,0.0194213646456
sh000046,2019-05-24,3494.61,3495.12,3487.78,3527.59,7724298600.0,74048840000.0,-0.00407474739416
sh000046,2019-05-23,3550.99,3509.42,3501.25,3561.7,8987576700.0,88165280000.0,-0.0159796546107
sh000046,2019-05-22,3580.32,3566.41,3547.36,3591.57,9747844200.0,93222350000.0,-0.00414658528004
sh000046,2019-05-21,3517.58,3581.26,3508.23,3592.04,10374307200.0,95870830000.0,0.0166899931014
sh000046,2019-05-20,3532.7,3522.47,3473.25,3537.32,9717536400.0,91145770000.0,-0.0049407337936
sh000046,2019-05-17,3657.4,3539.96,3527.29,3658.71,12873314600.0,1.149408e+11,-0.0313766373066
sh000046,2019-05-16,3618.88,3654.63,3614.65,3657.06,11913685300.0,1.0518638e+11,0.00896147889249
sh000046,2019-05-15,3574.22,3622.17,3571.49,3630.18,10726821800.0,1.0235065e+11,0.0211608887235
sh000046,2019-05-14,3529.52,3547.11,3529.52,3583.47,9870663200.0,90566510000.0,-0.00744324525493
sh000046,2019-05-13,3573.18,3573.71,3560.01,3601.48,9693083700.0,89976500000.0,-0.012806382197
sh000046,2019-05-10,3534.46,3620.07,3473.52,3620.27,13583564700.0,1.2298036e+11,0.0349532993502
sh000046,2019-05-09,3512.62,3497.81,3492.64,3544.76,9336252400.0,83972030000.0,-0.0142765755382
sh000046,2019-05-08,3509.7,3548.47,3497.69,3602.14,11005656600.0,98624210000.0,-0.0103001059854
sh000046,2019-05-07,3548.32,3585.4,3520.64,3593.27,12428753800.0,1.1184986e+11,0.0143808157711
sh000046,2019-05-06,3651.6,3534.57,3502.6,3663.36,15683892200.0,1.376681e+11,-0.0671250230938
sh000046,2019-04-30,3744.33,3788.9,3744.33,3807.32,10734155200.0,1.0525231e+11,0.00782555034207
sh000046,2019-04-29,3829.23,3759.48,3750.16,3840.45,14677869900.0,1.3853574e+11,-0.0184945383153
sh000046,2019-04-26,3857.19,3830.32,3827.98,3890.57,14237190300.0,1.3150621e+11,-0.0121447048416
sh000046,2019-04-25,3985.95,3877.41,3876.59,3986.66,16052118300.0,1.4817894e+11,-0.0304899546176
sh000046,2019-04-24,3981.16,3999.35,3933.03,3999.35,13479129100.0,1.3282936e+11,0.00584237900265
sh000046,2019-04-23,4012.25,3976.12,3964.07,4027.78,16250728600.0,1.5347239e+11,-0.010189069093
sh000046,2019-04-22,4099.36,4017.05,4007.43,4101.87,16391931200.0,1.6291582e+11,-0.0163763825531
sh000046,2019-04-19,4061.17,4083.93,4024.24,4084.83,14838611000.0,1.4568486e+11,0.00470625861051
sh000046,2019-04-18,4075.36,4064.8,4048.89,4096.03,15031234500.0,1.5157662e+11,-0.00292881076546
sh000046,2019-04-17,4063.54,4076.74,4047.11,4097.16,16822619400.0,1.6716141e+11,0.00275979456502
sh000046,2019-04-16,3967.2,4065.52,3945.56,4065.52,16384221200.0,1.6357175e+11,0.0200624253555
sh000046,2019-04-15,4084.36,3985.56,3983.82,4098.25,16387219900.0,1.6360668e+11,-0.00933111282344
sh000046,2019-04-12,4018.26,4023.1,3994.03,4043.08,14009773800.0,1.3692734e+11,-0.000817109122564
sh000046,2019-04-11,4104.8,4026.39,4022.72,4117.13,17187234000.0,1.7453601e+11,-0.0199042880511
sh000046,2019-04-10,4081.58,4108.16,4050.03,4144.87,18808144000.0,1.9483307e+11,0.00088682720513
sh000046,2019-04-09,4101.93,4104.52,4065.54,4121.03,17624065400.0,1.8375997e+11,-0.00254193216006
sh000046,2019-04-08,4164.35,4114.98,4061.58,4175.99,25533600200.0,2.5519298e+11,-0.00365369109967
sh000046,2019-04-04,4127.15,4130.07,4089.5,4147.11,23792350000.0,2.4162886e+11,0.00914075442377
sh000046,2019-04-03,4001.48,4092.66,3990.53,4096.13,21504386400.0,2.2440162e+11,0.0177556288328
sh000046,2019-04-02,4027.53,4021.26,4005.59,4050.47,21440828400.0,2.2432228e+11,0.00410756065831
sh000046,2019-04-01,3910.11,4004.81,3910.11,4012.82,22787110000.0,2.3079481e+11,0.033427348288
sh000046,2019-03-29,3748.53,3875.27,3743.1,3875.29,18354832100.0,1.8057326e+11,0.0347132108318
sh000046,2019-03-28,3777.42,3745.26,3743.46,3806.2,13953174400.0,1.386192e+11,-0.0116039406423
sh000046,2019-03-27,3779.11,3789.23,3730.85,3789.23,13574979600.0,1.355038e+11,0.00862429228898
sh000046,2019-03-26,3868.37,3756.83,3747.49,3878.41,17124078300.0,1.6723177e+11,-0.0237181985915
sh000046,2019-03-25,3842.66,3848.1,3834.69,3905.77,18078990200.0,1.7828965e+11,-0.014316122736
sh000046,2019-03-22,3892.46,3903.99,3841.78,3908.46,17593495600.0,1.6901608e+11,0.00265818103369
sh000046,2019-03-21,3872.36,3893.64,3859.11,3928.55,20109412300.0,1.9056049e+11,0.00722766898621
sh000046,2019-03-20,3856.23,3865.7,3805.9,3875.58,17213812600.0,1.6270702e+11,0.000517638533012
sh000046,2019-03-19,3868.42,3863.7,3840.68,3888.34,17199053300.0,1.695498e+11,0.000230402220145
sh000046,2019-03-18,3769.15,3862.81,3743.22,3862.81,19144871600.0,1.8320934e+11,0.0284700256664
sh000046,2019-03-15,3726.49,3755.88,3723.02,3791.32,16256538300.0,1.5859207e+11,0.0131940641548
sh000046,2019-03-14,3756.36,3706.97,3673.26,3792.96,18017969000.0,1.6721087e+11,-0.0202790918942
sh000046,2019-03-13,3849.79,3783.7,3761.4,3851.04,21917524600.0,2.189197e+11,-0.0169552294646
sh000046,2019-03-12,3823.58,3848.96,3799.13,3886.71,24946888700.0,2.3338779e+11,0.0146518408385
sh000046,2019-03-11,3702.15,3793.38,3694.2,3793.64,21208446800.0,1.9877311e+11,0.0290508885628
sh000046,2019-03-08,3774.83,3686.29,3685.34,3844.69,29283900300.0,2.5673385e+11,-0.0474087473351
sh000046,2019-03-07,3832.5,3869.75,3809.96,3905.07,30668021600.0,2.5799656e+11,0.0103653999295
sh000046,2019-03-06,3769.32,3830.05,3744.26,3834.1,28964060600.0,2.3772505e+11,0.020715184206
sh000046,2019-03-05,3682.85,3752.32,3671.34,3752.41,20615907500.0,1.801702e+11,0.0143680879765
sh000046,2019-03-04,3677.54,3699.17,3661.83,3778.61,26356179800.0,2.2641891e+11,0.0144133866797
sh000046,2019-03-01,3619.45,3646.61,3581.62,3646.61,17335955800.0,1.4037114e+11,0.0125197138986
sh000046,2019-02-28,3613.48,3601.52,3584.07,3636.51,17763349900.0,1.3854498e+11,-0.00490705333658
sh000046,2019-02-27,3627.22,3619.28,3577.69,3675.61,24244259200.0,2.0219553e+11,-0.00360370777206
sh000046,2019-02-26,3653.76,3632.37,3611.89,3712.88,29374754800.0,2.3438388e+11,-0.00100659235485
sh000046,2019-02-25,3497.43,3636.03,3490.94,3637.86,26219622100.0,2.1472847e+11,0.0570039012308
sh000046,2019-02-22,3341.39,3439.94,3331.02,3439.94,15162586800.0,1.2836858e+11,0.0287732562139
sh000046,2019-02-21,3346.82,3343.73,3332.79,3404.92,14616858000.0,1.2146123e+11,-0.00100087240221
sh000046,2019-02-20,3347.29,3347.08,3316.23,3356.07,11724552300.0,93336560000.0,0.000337721723277
sh000046,2019-02-19,3357.97,3345.95,3316.99,3378.96,14027825700.0,1.1415753e+11,0.00039167145044
sh000046,2019-02-18,3256.33,3344.64,3256.33,3344.64,12547260800.0,1.0334181e+11,0.0333647444117
sh000046,2019-02-15,3262.46,3236.65,3232.43,3275.14,9071523100.0,74219440000.0,-0.00947784626119
sh000046,2019-02-14,3255.55,3267.62,3247.02,3281.26,9136669400.0,76368510000.0,0.00205770781776
sh000046,2019-02-13,3204.64,3260.91,3195.99,3268.42,11972971800.0,97050060000.0,0.0186332881428
sh000046,2019-02-12,3167.16,3201.26,3164.9,3206.61,8848025400.0,71291380000.0,0.0102978258743
sh000046,2019-02-11,3110.74,3168.63,3110.74,3168.63,7574812400.0,63265900000.0,0.0204237394572
sh000046,2019-02-01,3056.09,3105.21,3056.09,3105.23,6300359300.0,49501300000.0,0.0211584184789
