index_code.string(),date.date(2006-01-02),open.double(),close.double(),low.double(),high.double(),volume.double(),money.double(),change.double()
sz399905,2019-06-10,4693.76,4725.26,4662.78,4750.54,7336138100.0,63265360000.0,0.00993421361979
sz399905,2019-06-06,4776.49,4678.78,4668.54,4776.69,8341693100.0,70429640000.0,-0.0219573478935
sz399905,2019-06-05,4837.9,4783.82,4777.98,4850.8,8130016500.0,72772850000.0,-0.00241689448869
sz399905,2019-06-04,4847.66,4795.41,4768.04,4853.81,8675165300.0,77250790000.0,-0.0120338207845
sz399905,2019-06-03,4921.71,4853.82,4838.35,4942.07,9854083000.0,83580690000.0,-0.0118444625407
sz399905,2019-05-31,4923.92,4912.0,4902.74,4969.05,8671672900.0,75731120000.0,-0.0029230269568
sz399905,2019-05-30,4933.5,4926.4,4865.78,4933.85,9477960200.0,80822550000.0,-0.00614501922588
sz399905,2019-05-29,4943.57,4956.86,4930.43,4992.99,8587685200.0,78641300000.0,0.000276461056323
sz399905,2019-05-28,4965.59,4955.49,4933.9,5002.25,9026398900.0,83641970000.0,-0.00150313825447
sz399905,2019-05-27,4848.64,4962.95,4824.14,4974.27,9307641400.0,81678360000.0,0.025030154324
sz399905,2019-05-24,4848.58,4841.76,4831.33,4892.46,7793343600.0,69305380000.0,-0.00639452320169
sz399905,2019-05-23,4955.25,4872.92,4860.19,4957.99,9056368100.0,82582770000.0,-0.0207921806772
sz399905,2019-05-22,5002.16,4976.39,4941.01,5018.11,9409270900.0,86507940000.0,-0.00668280813674
sz399905,2019-05-21,4917.34,5009.87,4904.82,5026.28,10083707300.0,91301260000.0,0.0175299986189
sz399905,2019-05-20,4937.18,4923.56,4835.81,4947.75,9568649700.0,84271520000.0,-0.00384819264433
sz399905,2019-05-17,5112.24,4942.58,4923.67,5116.99,11907121300.0,1.0393111e+11,-0.032452685402
sz399905,2019-05-16,5071.11,5108.36,5059.21,5118.44,10442216600.0,91206180000.0,0.00626408434058
sz399905,2019-05-15,5002.6,5076.56,4999.34,5086.73,9746386000.0,88150030000.0,0.0223436798299
sz399905,2019-05-14,4942.39,4965.61,4941.93,5018.41,8754096900.0,78269150000.0,-0.00804850276674
sz399905,2019-05-13,5009.47,5005.9,4985.19,5040.5,9173639400.0,81269400000.0,-0.0115356059649
sz399905,2019-05-10,4940.48,5064.32,4842.61,5064.32,12217748300.0,1.0392682e+11,0.0359851158148
sz399905,2019-05-09,4897.98,4888.41,4879.69,4955.78,9093465600.0,75438860000.0,-0.0119913334169
sz399905,2019-05-08,4865.79,4947.74,4842.56,5028.53,10773812100.0,88503430000.0,-0.00515944826477
sz399905,2019-05-07,4933.04,4973.4,4886.06,4990.19,11657368700.0,97660950000.0,0.0131600391134
sz399905,2019-05-06,5122.47,4908.8,4874.64,5125.16,14338623300.0,1.1659752e+11,-0.0751305684721
sz399905,2019-04-30,5244.04,5307.56,5244.04,5349.94,10219034000.0,90849650000.0,0.00796870252203
sz399905,2019-04-29,5405.16,5265.6,5252.05,5421.66,13867238700.0,1.197132e+11,-0.0263367621851
sz399905,2019-04-26,5427.62,5408.03,5407.19,5496.04,12427988000.0,1.0897082e+11,-0.00923160914697
sz399905,2019-04-25,5652.01,5458.42,5457.83,5662.79,15140171800.0,1.3209871e+11,-0.0389648803728
sz399905,2019-04-24,5636.4,5679.73,5568.41,5682.48,13478441200.0,1.2197072e+11,0.00918078343159
sz399905,2019-04-23,5710.73,5628.06,5610.74,5710.73,14987146100.0,1.3376825e+11,-0.0165960748134
sz399905,2019-04-22,5821.02,5723.04,5704.98,5824.52,15816102600.0,1.4341062e+11,-0.0149978141813
sz399905,2019-04-19,5762.5,5810.18,5710.8,5810.18,14872428900.0,1.335073e+11,0.00606215920917
sz399905,2019-04-18,5804.3,5775.17,5762.57,5826.67,15132250500.0,1.4140685e+11,-0.0056063212305
sz399905,2019-04-17,5776.64,5807.73,5758.0,5840.62,16980015500.0,1.5885683e+11,0.0053176297081
sz399905,2019-04-16,5625.12,5777.01,5583.61,5777.01,15602963200.0,1.4739454e+11,0.0213985905184
sz399905,2019-04-15,5795.5,5655.98,5654.34,5815.39,15775413600.0,1.4793291e+11,-0.010218099283
sz399905,2019-04-12,5720.05,5714.37,5673.74,5749.34,14007834100.0,1.2612198e+11,-0.00223496072231
sz399905,2019-04-11,5852.64,5727.17,5720.55,5866.92,16587607300.0,1.5739702e+11,-0.0211237514443
sz399905,2019-04-10,5826.03,5850.76,5782.37,5906.43,17875360700.0,1.7267158e+11,-0.00124444140968
sz399905,2019-04-09,5834.29,5858.05,5798.37,5877.84,17936350200.0,1.6907255e+11,0.00178191848663
