code.string(),date.date(2006-01-02),open.double(),high.double(),low.double(),close.double(),change.double(),volume.double(),money.double(),traded_market_value.double(),market_value.double(),turnover.double(),adjust_price.double(),report_type.string(),report_date.date(2006-01-02),PE_TTM.double(),PS_TTM.double(),PC_TTM.double(),PB.double(),adjust_price_f.double()
sh601028,2019-06-10,5.640000,5.730000,5.560000,5.590000,-0.008865,5308834.000000,29933182.000000,4377113998.400000,4377113998.400000,0.006780,13.318269,2018-09-30,2018-10-31,48.024055,4.529187,-49.644760,2.072443,5.590000
sh601028,2019-06-06,5.700000,5.740000,5.630000,5.640000,-0.019130,5829000.000000,33059345.000000,4416265286.400000,4416265286.400000,0.007444,13.437395,2018-09-30,2018-10-31,48.453608,4.569699,-50.088810,2.090980,5.640000
sh601028,2019-06-05,5.710000,5.810000,5.650000,5.750000,0.008772,7608131.000000,43697816.000000,4502398120.000000,4502398120.000000,0.009716,13.699472,2018-09-30,2018-10-31,49.398625,4.658824,-51.065719,2.131761,5.750000
sh601028,2019-06-04,5.640000,5.740000,5.550000,5.700000,0.001757,6372122.000000,36059164.000000,4463246832.000000,4463246832.000000,0.008138,13.580346,2018-09-30,2018-10-31,48.969072,4.618313,-50.621670,2.113224,5.700000
sh601028,2019-06-03,5.700000,5.710000,5.560000,5.690000,0.003527,8884471.000000,50069178.000000,4455416574.400000,4455416574.400000,0.011346,13.556521,2018-09-30,2018-10-31,48.883162,4.610210,-50.532860,2.109517,5.690000
sh601028,2019-05-31,5.580000,5.700000,5.480000,5.670000,0.021622,9613940.000000,53930171.000000,4439756059.200000,4439756059.200000,0.012278,13.508870,2018-09-30,2018-10-31,48.711340,4.594006,-50.355240,2.102102,5.670000
sh601028,2019-05-30,5.540000,5.770000,5.470000,5.550000,0.005435,9518982.000000,53162572.000000,4345792968.000000,4345792968.000000,0.012157,13.222968,2018-09-30,2018-10-31,47.680412,4.496778,-49.289520,2.057613,5.550000
sh601028,2019-05-29,5.400000,5.550000,5.330000,5.520000,0.020333,6129380.000000,33451798.000000,4322302195.200000,4322302195.200000,0.007828,13.151493,2018-09-30,2018-10-31,47.422680,4.472471,-49.023091,2.046491,5.520000
sh601028,2019-05-28,5.450000,5.540000,5.300000,5.410000,0.007449,7837121.000000,42491627.000000,4236169361.600000,4236169361.600000,0.010009,12.889416,2018-09-30,2018-10-31,46.477663,4.383346,-48.046181,2.005709,5.410000
sh601028,2019-05-27,5.250000,5.450000,5.250000,5.370000,0.024809,8424541.000000,45228927.000000,4204848331.200000,4204848331.200000,0.010759,12.794115,2018-09-30,2018-10-31,46.134021,4.350937,-47.690941,1.990880,5.370000
sh601028,2019-05-24,5.030000,5.410000,4.980000,5.240000,0.041750,7251900.000000,37837592.000000,4103054982.400000,4103054982.400000,0.009261,12.484388,2018-09-30,2018-10-31,45.017182,4.245607,-46.536412,1.942683,5.240000
sh601028,2019-05-23,5.120000,5.120000,4.960000,5.030000,-0.007890,3029100.000000,15253198.000000,3938619572.800000,3938619572.800000,0.003868,11.984060,2018-09-30,2018-10-31,43.213058,4.075458,-44.671403,1.864828,5.030000
