code.string(),date.date(2006-01-02),open.double(),high.double(),low.double(),close.double(),change.double(),volume.double(),money.double(),traded_market_value.double(),market_value.double(),turnover.double(),adjust_price.double(),report_type.string(),report_date.date(2006-01-02),PE_TTM.double(),PS_TTM.double(),PC_TTM.double(),PB.double(),adjust_price_f.double()
sz300163,2019-06-10,3.430000,3.480000,3.390000,3.430000,-0.002907,2968300.000000,10170891.000000,1130418548.700000,1625820000.000000,0.009007,21.813870,2018-09-30,2018-10-30,-8.934618,2.186868,-18.081181,3.022559,3.430000
sz300163,2019-06-06,3.500000,3.530000,3.360000,3.440000,-0.017143,4250500.000000,14558323.000000,1133714229.600000,1630560000.000000,0.012897,21.877467,2018-09-30,2018-10-30,-8.960667,2.193244,-18.133896,3.031371,3.440000
sz300163,2019-06-05,3.500000,3.540000,3.460000,3.500000,0.011561,4145500.000000,14513795.000000,1153488315.000000,1659000000.000000,0.012579,22.259051,2018-09-30,2018-10-30,-9.116958,2.231498,-18.450185,3.084244,3.500000
sz300163,2019-06-04,3.490000,3.550000,3.430000,3.460000,-0.014245,5728100.000000,19934125.000000,1140305591.400000,1640040000.000000,0.017381,22.004662,2018-09-30,2018-10-30,-9.012764,2.205995,-18.239325,3.048995,3.460000
sz300163,2019-06-03,3.620000,3.640000,3.500000,3.510000,-0.035714,9974176.000000,35341579.840000,1156783995.900000,1663740000.000000,0.030264,22.322648,2018-09-30,2018-10-30,-9.143006,2.237874,-18.502899,3.093056,3.510000
sz300163,2019-05-31,3.660000,3.730000,3.630000,3.640000,-0.018868,6694470.000000,24563890.100000,1199627847.600000,1725360000.000000,0.020313,23.149413,2018-09-30,2018-10-30,-9.481636,2.320758,-19.188192,3.207614,3.640000
sz300163,2019-05-30,3.700000,3.740000,3.550000,3.710000,-0.005362,14726900.000000,53507492.000000,1222697613.900000,1758540000.000000,0.044685,23.594594,2018-09-30,2018-10-30,-9.663975,2.365388,-19.557196,3.269299,3.710000
sz300163,2019-05-29,3.670000,3.760000,3.650000,3.730000,0.010840,11547622.000000,42962779.960000,1229288975.700000,1768020000.000000,0.035039,23.721789,2018-09-30,2018-10-30,-9.716072,2.378139,-19.662625,3.286923,3.730000
sz300163,2019-05-28,3.730000,3.760000,3.650000,3.690000,-0.018617,14705100.000000,54498099.000000,1216106252.100000,1749060000.000000,0.044619,23.467400,2018-09-30,2018-10-30,-9.611878,2.352637,-19.451766,3.251674,3.690000
sz300163,2019-05-27,3.650000,3.780000,3.600000,3.760000,-0.023377,25419297.000000,94235501.970000,1239176018.400000,1782240000.000000,0.077129,23.912581,2018-09-30,2018-10-30,-9.794217,2.397267,-19.820770,3.313359,3.760000
